OID_,IFI_HUC12,FREQUENCY,MEAN_ICI_I
,101900090503.000000000000000,7,0.553149115189000
,101900090504.000000000000000,6,0.649319733639000
,101900090601.000000000000000,14,0.535514628361000
,101900090602.000000000000000,16,0.481169918630000
,101900100101.000000000000000,5,0.817022297498000
,101900100102.000000000000000,2,0.807873359271000
,101900100103.000000000000000,6,0.841406031667000
,101900100201.000000000000000,1,0.781972531027000
,101900100202.000000000000000,1,0.781972531027000
,101900100203.000000000000000,6,0.565001001007000
,101900100204.000000000000000,1,0.782482209807000
,101900100205.000000000000000,10,0.508757273380000
,101900100206.000000000000000,11,0.394196478047000
,101900100207.000000000000000,7,0.309433825106000
,101900100208.000000000000000,12,0.320275703709000
,101900100209.000000000000000,28,0.255028892708000
,101900100301.000000000000000,7,0.832132849754000
,101900100302.000000000000000,12,0.794888094626000
,101900100303.000000000000000,8,0.596507966791000
,101900100304.000000000000000,16,0.277389924436000
,101900100401.000000000000000,16,0.236307939351000
,101900100402.000000000000000,11,0.314447630664000
,101900100403.000000000000000,20,0.345606226000000
,101900100404.000000000000000,10,0.301657979576000
,101900110101.000000000000000,5,0.848691518030000
,101900110102.000000000000000,5,0.836228738239000
,101900110103.000000000000000,9,0.842415402055000
,101900110104.000000000000000,11,0.798154192129000
,101900110105.000000000000000,5,0.668758142646000
,101900110106.000000000000000,3,0.608473350663000
,101900110107.000000000000000,33,0.767371299262000
,101900110108.000000000000000,40,0.731790119442000
,101900110109.000000000000000,17,0.570430866935000
,101900110201.000000000000000,9,0.830778972834000
,101900110202.000000000000000,3,0.767479351258000
,101900110203.000000000000000,7,0.779537831110000
,101900110204.000000000000000,11,0.832322097982000
,101900110205.000000000000000,8,0.865381539132000
,101900110206.000000000000000,34,0.858274184427000
,101900110207.000000000000000,23,0.842625427698000
,101900110208.000000000000000,42,0.624543843226000
,101900110209.000000000000000,19,0.392997188879000
,101900110301.000000000000000,9,0.878184444813000
,101900110302.000000000000000,5,0.836985329117000
,101900110303.000000000000000,9,0.799578064616000
,101900110304.000000000000000,26,0.808196413491000
,101900110305.000000000000000,23,0.640627091238000
,101900110306.000000000000000,15,0.630378675747000
,101900110307.000000000000000,14,0.512721136697000
,101900110308.000000000000000,28,0.366090758827000
,101900110401.000000000000000,29,0.653483883424000
,101900110402.000000000000000,19,0.457924261029000
,101900110403.000000000000000,11,0.275525314299000
,101900110404.000000000000000,20,0.538854508309000
,101900110405.000000000000000,18,0.551622178772000
,101900110406.000000000000000,46,0.549129973090000
,101900110501.000000000000000,21,0.431089263098000
,101900110502.000000000000000,17,0.313419056092000
,101900110503.000000000000000,12,0.286123846828000
,101900110504.000000000000000,21,0.446678460836000
,101900120101.000000000000000,4,0.239055449746000
,101900120102.000000000000000,38,0.252695008566000
,101900120103.000000000000000,16,0.279973535557000
,101900120104.000000000000000,9,0.352138218539000
,101900120105.000000000000000,14,0.412127559692000
