OID_,IFI_HUC12,FREQUENCY,MEAN_ICI_I
,101900120709.000000000000000,30,0.494111350195000
,101900120801.000000000000000,50,0.638964904085000
,101900120802.000000000000000,34,0.785056379433000
,101900120803.000000000000000,25,0.678271625531000
,101900120804.000000000000000,44,0.827460550986000
,101900120805.000000000000000,5,0.606940723519000
,101900120806.000000000000000,15,0.675594543701000
,101900120807.000000000000000,38,0.637574131458000
,101900120808.000000000000000,60,0.658053490190000
,101900120809.000000000000000,69,0.503046582224000
,101900120901.000000000000000,15,0.488528037972000
,101900120903.000000000000000,28,0.559916421870000
,101900120904.000000000000000,61,0.470622665233000
,101900120905.000000000000000,42,0.478499318926000
,101900121001.000000000000000,37,0.445822440140000
,101900121002.000000000000000,23,0.410820726156000
,101900121003.000000000000000,12,0.449998908107000
,101900121004.000000000000000,51,0.599923187965000
,101900121005.000000000000000,142,0.612772631154000
,101900121101.000000000000000,28,0.426957167053000
,101900121102.000000000000000,40,0.575828458571000
,101900121103.000000000000000,34,0.483716187149000
,101900121104.000000000000000,9,0.549882284347000
,101900121105.000000000000000,153,0.623283724198000
,101900121201.000000000000000,44,0.442938192243000
,101900121202.000000000000000,42,0.542842071743000
,101900121203.000000000000000,44,0.540467741199000
,101900121204.000000000000000,16,0.546385681177000
,101900121205.000000000000000,43,0.590761164554000
,101900121206.000000000000000,64,0.632216368733000
,101900121207.000000000000000,241,0.697704707449000
,101900121301.000000000000000,35,0.453332505456000
,101900121302.000000000000000,62,0.364392740225000
,101900121303.000000000000000,42,0.201617268035000
,101900121304.000000000000000,207,0.703986826869000
,101900130101.000000000000000,59,0.829987525353000
,101900130102.000000000000000,37,0.648192860767000
,101900130103.000000000000000,77,0.505397853120000
,101900130104.000000000000000,97,0.534140013648000
,101900130105.000000000000000,51,0.375550824759000
,101900130106.000000000000000,78,0.490016093386000
,101900130201.000000000000000,68,0.447805481378000
,101900130202.000000000000000,90,0.545989464561000
,101900130203.000000000000000,70,0.495126054443000
,101900130204.000000000000000,33,0.384517482659000
,101900130205.000000000000000,31,0.400874702430000
,101900130206.000000000000000,50,0.423855287242000
,101900130207.000000000000000,24,0.367758048143000
,101900130301.000000000000000,52,0.548898768557000
,101900130302.000000000000000,103,0.519529477331000
,101900130303.000000000000000,66,0.396129542859000
