FID,HUC12,FP_Areakm2,StrmOrder,Floods,Groundwater,Sediment,Organics_Solutes,Habitat,IFI_geomean,IFI_prod,In_City,ECO_name
149,1.019E+11,1.1498801,2,0.5,0.5,0.548836674,0.398448898,0.532557782,0.49297455,0.029115382,1,HPL
150,1.019E+11,1.87835,3,0.442605743,0.5,0.531504731,0.375339641,0.521003154,0.470274894,0.023001649,1,HPL
151,1.019E+11,13.1405001,5,0.451504986,0.710441453,0.502375237,0.336741608,0.5013181,0.486324162,0.027203779,1,HPL
152,1.019E+11,1.03262,2,0.941693491,0.989602406,0.85225871,0.813937365,0.843740231,0.88582575,0.545433116,0,SWT
153,1.019E+11,3.3380201,3,0.929673635,0.991879969,0.828910179,0.803216434,0.834100472,0.874721119,0.512092081,0,SWT
154,1.019E+11,3.5896399,2,0.855292887,0.990894244,0.839714326,0.822564545,0.867686826,0.873295744,0.507933338,1,SWT
155,1.019E+11,1.24805,3,0.885266633,0.987983593,0.807527358,0.817663563,0.802109353,0.857349422,0.463222128,0,SWT
156,1.019E+11,0.859891,2,0.774218429,0.912251559,0.654817513,0.683030269,0.643994823,0.727250697,0.203432685,1,SWT
157,1.019E+11,5.8727798,3,0.774380913,0.963730417,0.74466428,0.793236777,0.787389062,0.809268413,0.34710666,1,SWT
158,1.019E+11,2.3682599,3,0.519738309,0.739162716,0.602255202,0.484123314,0.576478496,0.578107882,0.064572032,1,SWT
159,1.019E+11,3.1960399,4,0.427857905,0.636213086,0.528573192,0.395728255,0.515776449,0.493825113,0.029367424,1,HPL
160,1.019E+11,3.53071,3,0.940489066,0.985318812,0.844201302,0.841265299,0.854756912,0.891313384,0.562538357,0,HPL
161,1.019E+11,7.4902802,3,0.914678075,0.927754047,0.748688908,0.742324597,0.765166346,0.815587287,0.360871211,1,HPL
162,1.019E+11,2.1833501,4,0.5,0.700806568,0.513801619,0.371143853,0.48438534,0.503523077,0.032366586,1,HPL
163,1.019E+11,10.0541,5,0.472294968,0.49096723,0.467866711,0.340132905,0.435890754,0.437807155,0.016084749,1,HPL
164,1.019E+11,3.3687301,4,0.403891828,0.68767284,0.539449524,0.420828775,0.509183606,0.502707678,0.032105364,1,HPL
165,1.019E+11,0.966451,3,0.5,0.745116519,0.524022457,0.371874584,0.419332576,0.497393195,0.030443823,1,HPL
166,1.019E+11,9.1988802,4,0.535223335,0.812418713,0.540198146,0.541117544,0.573238535,0.592241734,0.072860985,1,HPL
167,1.019E+11,10.9816999,5,0.391707601,0.608376102,0.487972241,0.317296321,0.483519191,0.446973322,0.017840541,1,HPL
168,1.019E+11,9.0629597,2,0.475277504,0.260244642,0.302557479,0.340305458,0.262568718,0.319778874,0.003343866,1,HPL
169,1.019E+11,18.6408997,5,0.313943873,0.197048511,0.211062033,0.020389098,0.211622407,0.141305475,5.63372E-05,1,HPL
170,1.019E+11,6.7012601,3,0.509202413,0.257253251,0.318641679,0.348517253,0.229996514,0.31981578,0.003345796,1,HPL
171,1.019E+11,10.4153996,1,0.47258476,0.25,0.304265958,0.36218693,0.338824855,0.33799963,0.004411448,1,HPL
172,1.019E+11,14.2816,5,0.445611247,0.22905851,0.282718854,0.209623421,0.34015225,0.290184425,0.002057645,1,HPL
173,1.019E+11,6.0970402,2,0.642620971,0.77824078,0.633842706,0.427813868,0.610150341,0.607502988,0.082745063,1,HPL
174,1.019E+11,3.26634,2,0.625653075,0.357559082,0.367701109,0.346856035,0.363142772,0.40094112,0.010361032,1,HPL
175,1.019E+11,8.1486998,3,0.742295497,0.39899596,0.403054421,0.531994613,0.507163911,0.503028878,0.032208062,1,HPL
176,1.019E+11,24.7245007,5,0.415528163,0.216009771,0.216009771,0.282118048,0.300188361,0.277379522,0.001641996,1,HPL
177,1.019E+11,7.7076402,-999,0.872401359,0.638005482,0.850692448,0.861538612,0.866515251,0.81221846,0.353479537,0,HPL
178,1.019E+11,4.4525199,-999,0.600135493,0.407088841,0.651394409,0.845984352,0.635992361,0.61167306,0.085624247,1,HPL
179,1.019E+11,6.36689,-999,0.885364875,0.455829158,0.673171882,0.941105544,0.693934345,0.707622143,0.177421837,1,HPL
180,1.019E+11,20.1917,-999,0.940685634,0.518207125,0.733803819,0.987584021,0.749756669,0.766662905,0.264863584,0,HPL
181,1.019E+11,11.8154001,-999,0.880923917,0.408583777,0.640538837,0.862985995,0.723869859,0.678712497,0.14402213,0,HPL
182,1.019E+11,2.3350301,1,0.749233045,0.5,0.508151054,0.489317375,0.494127254,0.540258789,0.046026633,0,HPL
183,1.019E+11,18.4895,5,0.768901846,0.303005102,0.37327132,0.404006803,0.461029613,0.438422257,0.016198059,1,HPL
184,1.019E+11,25.8570995,5,0.898764588,0.454535625,0.434591025,0.6060475,0.571273442,0.572438805,0.061467469,1,HPL
185,1.019E+11,14.3280001,6,0.90644081,0.493083486,0.474889125,0.586517647,0.602068195,0.595601496,0.074951254,1,HPL
186,1.019E+11,5.1511002,6,0.870904252,0.5905534,0.403864703,0.495687504,0.5414522,0.561366789,0.05574855,1,HPL
187,1.019E+11,23.3001003,6,0.625825897,0.239471322,0.274672783,0.319295095,0.342683863,0.339407718,0.004504106,1,HPL
188,1.019E+11,31.1975002,7,0.648434925,0.30599419,0.400904484,0.407992253,0.508823994,0.440116852,0.016513533,1,HPL
189,1.019E+11,1.09989,2,0.785230004,0.989319718,0.867213969,0.887279874,0.858509772,0.87509084,0.513175234,0,SWT
190,1.019E+11,2.5448599,2,0.871137764,0.897417129,0.789362541,0.755834815,0.827585634,0.826645886,0.386009101,1,SWT
191,1.019E+11,1.68116,2,0.888846462,0.931294443,0.780876018,0.796903267,0.80143884,0.83782703,0.412830559,1,SWT
192,1.019E+11,2.9906099,2,0.779396988,0.845562497,0.76145838,0.67864107,0.67196735,0.744573857,0.228843677,0,SWT
193,1.019E+11,8.5966501,3,0.969248769,0.965648187,0.84798028,0.852985596,0.872570385,0.900070279,0.590720587,1,HPL
194,1.019E+11,12.1738997,3,0.922138105,0.759930322,0.619205237,0.803862922,0.68568967,0.751177885,0.239174,1,HPL
195,1.019E+11,12.7172003,4,0.944472235,0.768059352,0.606195233,0.795152066,0.583069772,0.727567753,0.20387652,1,HPL
196,1.019E+11,0.692609,2,0.935358519,0.741604356,0.498027698,0.705538914,0.543162673,0.667376566,0.132389873,1,HPL
197,1.019E+11,4.14253,2,0.966272145,0.904541908,0.803042422,0.835733381,0.840133703,0.868033647,0.492813728,0,HPL
198,1.019E+11,11.3794003,4,0.814291267,0.650019682,0.481720784,0.706492323,0.577598897,0.635985324,0.104048416,1,HPL
199,1.019E+11,13.1529999,4,0.902655835,0.726672424,0.469164589,0.635563232,0.557195816,0.64190468,0.108981482,0,HPL
200,1.019E+11,13.3698997,4,0.906559374,0.727864434,0.456257796,0.636470238,0.433932191,0.60809496,0.083148998,0,HPL
201,1.019E+11,26.5709991,4,0.79093468,0.426074741,0.422478808,0.570149659,0.551005466,0.537174295,0.044727653,0,HPL
202,1.019E+11,3.51861,3,0.967600847,0.742342471,0.654755227,0.894530573,0.717882586,0.787055985,0.302014732,0,HPL
203,1.019E+11,6.3471098,3,0.946533528,0.74485099,0.573036754,0.816077579,0.571739333,0.716248094,0.188502622,0,HPL
204,1.019E+11,9.2488804,4,0.894969937,0.726181209,0.538742914,0.773060253,0.557332715,0.685034716,0.150856111,0,HPL
205,1.019E+11,2.5743799,4,0.910516401,0.742899399,0.554658569,0.784751577,0.484892187,0.677523211,0.142764718,0,HPL
206,1.019E+11,8.3536901,3,0.914205681,0.661267974,0.546091026,0.776163038,0.603076577,0.688338994,0.154529665,0,HPL
207,1.019E+11,3.6127901,3,0.890459553,0.737058024,0.576176671,0.850960222,0.640061891,0.729055441,0.205969434,0,HPL
208,1.019E+11,23.2289009,4,0.689094049,0.676508236,0.501909117,0.704290158,0.502160707,0.607511081,0.082750575,0,HPL
209,1.019E+11,15.5735998,4,0.722182949,0.612430288,0.500231324,0.697139364,0.526335849,0.605189614,0.081181549,0,HPL
210,1.019E+11,9.19522,4,0.909121967,0.843618066,0.636020817,0.722724075,0.593501086,0.73135238,0.209234547,0,HPL
